p_name,p_price,p_score,p_region,p_year
Cabernet-Merlot Margaret River,45,87,Australia,1996
Zinfandel Alexander Valley Harris Kratka Vineyard,24,87,Sonoma,1998
Cabernet Sauvignon North Fork of Long Island,13,88,Long Island,1995
Meursault Les Rougeots,31,86,Burgundy,1994
Merlot Dry Creek Valley Reserve,30,85,Sonoma,1995
Merlot Alexander Valley,21,85,Sonoma,1995
Cabernet Sauvignon Coonawarra,40,89,Australia,1994
Riesling Marlborough,15,86,New Zealand,1999
Pinot Noir Russian River Valley,10,84,Sonoma,1995
Sauvignon Blanc Sonoma & Monterey Counties,11,87,,1997
Sauvignon Blanc Maule Valley Reserva,10,80,Chile,1995
Meursault Les Charmes,75,92,Burgundy,1996
Rocca delle Querce,,85,Tuscany,1995
Chardonnay Dry Creek Valley Wolcott Vineyard Barrel Fermented Reserve,22,88,Sonoma,1994
Vosne-Romanee Les Barreaux,60,89,Burgundy,1998
Chianti Classico Riserva,14,86,Tuscany,1996
Chardonnay Sonoma Valley,14,87,Sonoma,1996
Black Muscat Yakima Valley,8,84,Washington,1998
Petite Sirah Mendocino,17,91,Mendocino Lake,1997
Vinho Verde Muralhas de Moncao,7,82,Portugal,
Chambolle-Musigny,45,91,Burgundy,1996
Langhe Bric du Luv,35,93,Piedmont,1996
Rully Gresigny,,79,Burgundy,1994
Pinot Noir Carneros The Famous Gate,30,87,Carneros,1993
Chianti Classico Valle del Pozzo Riserva,26,83,Tuscany,1994
Dolcetto d'Alba Vignavillej,13,80,Piedmont,1993
Barbera d'Alba,9,85,Piedmont,1998
Chenin Blanc Monterey Dry,8,87,Bay Area - Central Coast,1997
Volnay,26,81,Burgundy,1996
Riesling Smaragd Trocken Wachau Durnsteiner Kellerberg,27,92,Niederosterreich,1998
Riesling Beerenauslese Rheingau Erbacher Siegelsberg,100,91,Germany,1995
St.-Estephe,,,Bordeaux,1998
Merlot Coastal Region Bay View,9,80,South Africa,1995
Merlot Napa Valley Old Vines,20,86,Napa,1993
Syrah California Barrel Select,10,77,Other California,1996
Riesling Spätlese Trocken Rheingau,27,87,Germany,1995
Brut Champagne Fleur de Prestige,36,88,Champagne,1995
Il Fiasco California,15,86,Other California,1995
Dolcetto d'Alba,13,82,Piedmont,1996
Chardonnay Central Coast,7,80,Other California,1992
Volnay Clos du Chateau des Ducs,70,87,Burgundy,1994
Alentejo Vinha do Monte,9,85,Portugal,1998
Brut Blanc de Blancs Cava Artist Series,9,81,Spain,
Soave Classico Costalta,13,75,Veneto,1998
Bordeaux Reserve,8,83,Bordeaux,1993
Qualitätswein Trocken Sudburgenland Alter Weingarten,40,89,Burgenland,1997
Barbera Piemonte,13,79,Piedmont,1995
Cabernet Sauvignon Mendocino Frost Reserve,24,80,Mendocino Lake,1995
Chablis Reserve de l'Obedience,110,98,Burgundy,1996
Cotes de Francs,,,Bordeaux,1999
Merlot Walla Walla Valley Seven Hills Vineyard,28,88,Washington,1994
Petit Noir Russian River Valley,8,87,Sonoma,1995
Crown Jewel Meritage Library Collection California,40,85,Other California,1993
Malbec Colchagua Valley,8,85,Chile,1995
St.-Joseph Les Grisieres,13,77,Rhone,1992
Cabernet Sauvignon Costers del Segre El Moli Reserva,29,89,Spain,1994
Merlot California,8,77,Other California,1996
Chardonnay Russian River Valley Heck Family Cellar Selection,15,88,Sonoma,1996
Nuits-St.-Georges Les Proces,60,80,Burgundy,1997
Brut Champagne,,85,Champagne,
La Provencale California,14,88,Other California,1992
Puligny-Montrachet Les Folatieres,75,84,Burgundy,1998
Chardonnay Western Australia,12,84,Australia,1996
Zinfandel Russian River Valley,14,86,Sonoma,1994
Moscato Apianae da uva Reale,16,84,Other Italy,1992
Semillon-Chardonnay South Eastern Australia,7,80,Australia,1992
Bourgogne White Les Herbeux,15,90,Burgundy,1997
Crozes-Hermitage Les Varonniers,80,80,Rhone,1997
Merlot California,8,83,Other California,1992
Vernaccia di San Gimignano Crocus,16,84,Tuscany,1999
Riesling Auslese Mosel-Saar-Ruwer Bernkasteler Doctor,,84,Germany,1994
Zinfandel California,13,82,Other California,1993
Pessac-Leognan White,15,86,Bordeaux,1998
Griotte-Chambertin,185,98,Burgundy,1996
Riesling Auslese Gold Cap Nahe Traiser,60,86,Germany,1995
Beaujolais-Villages Chateau de Varennes,11,85,Beaujolais,1998
Weisser Riesling Stellenbosch,10,84,South Africa,1993
Fume Blanc Sonoma County,11,89,Sonoma,1992
Pouilly-Fume Pilou,50,92,Loire,1996
Monte Bello Santa Cruz Mountains,120,96,Bay Area - Central Coast,1996
Riesling Kabinett Mosel-Saar-Ruwer Brauneberger Juffer,17,83,Germany,1998
Cabernet Sauvignon Napa Valley,30,88,Napa,1995
Chianti Classico,10,80,Tuscany,1993
Chardonnay Napa Valley,25,90,Napa,1995
Late Bottled Port Anno,20,81,Portugal,1992
Cabernet Sauvignon Maule Valley,5,82,Chile,1993
Vouvray,9,77,Loire,1994
Brut Champagne Classic,38,89,Champagne,
Chardonnay Napa Valley Carneros,16,84,Carneros,1994
Port Club,10,77,Portugal,
Chardonnay Howell Mountain,16,90,Napa,1993
Cotes du Rhone Vieilles Vignes,9,88,Rhone,1993
Vino Nobile di Montepulciano Rovisci Riserva,17,71,Tuscany,1993
Vinho Verde Paco de Teixeiro,11,83,Portugal,1995
St.-Amour Domaine de la Pirolette,13,86,Beaujolais,1996
Cabernet Sauvignon Maule Valley Las Mercedes,11,79,Chile,1995
Furmint Tokay,,78,Hungary,1994
Bianco dell'Empolese Vin Santo Tegrino d'Anchiano,26,84,Tuscany,1995
Shiraz Clare Valley McCrae Wood,35,90,Australia,1996
Campo all'Albero,22,85,Tuscany,1993
Chablis Cote de Lechet,,87,Burgundy,1995
Dao Cardeal,7,85,Portugal,1995
Black Muscat California,9,85,Other California,1995
Macon-Villages Domaine de la Grange Magnien,,77,Burgundy,1995
Zinfandel Dry Creek Valley Pedroni-Bushnell Vineyard Single Vineyard Selection,12,84,Sonoma,1993
Cabernet Sauvignon Napa Valley St. Helena Home Vineyard,85,94,Napa,1995
Pinot d'Alsace Alsace,14,84,Alsace,1998
Soave Classico Superiore San Vincenzo,10,84,Veneto,1996
Fume Blanc Napa Valley,14,89,Napa,1995
Vintner's Cuvee Texas,,78,Texas,1996
Sauvignon Blanc Mendocino County Organically Grown Grapes,8,76,Mendocino Lake,1993
Clos de Vougeot,68,74,Burgundy,1992
Rosso di Montalcino,30,84,Tuscany,1994
Beaune Greves,50,92,Burgundy,1997
Zinfandel Sonoma County Old Vines,16,88,Sonoma,1996
Rosso di Montalcino,10,77,Tuscany,1996
Chardonnay Marlborough,17,89,New Zealand,1998
Mercurey Les Combins,,85,Burgundy,1994
Riesling Spätlese Mosel-Saar-Ruwer Ürziger Wurzgarten,17,85,Germany,1994
Chardonnay McLaren Vale H Reserve,15,88,Australia,1996
Grenache Edna Valley Alban Estate Vineyard,28,88,South Coast,1995
Scheurebe Beerenauslese Pfalz Kallstadter Saumagen,,87,Germany,1994
etoile Rose Napa-Sonoma Counties,40,88,Other California,
Chardonnay Oregon,9,84,Oregon,1997
Cabernet Sauvignon Napa Valley,26,90,Napa,1995
Chassagne-Montrachet En Remilly,40,93,Burgundy,1994
Pinot Noir Anderson Valley Estate Reserve,16,79,Mendocino Lake,1992
Chardonnay Napa Valley Carneros,17,87,Carneros,1996
Bricco Viole,18,90,Piedmont,1994
Entre-Deux-Mers,8,78,Bordeaux,1994
Clos Vougeot,62,81,Burgundy,1994
Cote de Nuits-Villages Les Bellevues,28,77,Burgundy,1997
Cabernet Sauvignon Maipo Valley Vintner's Selection,5,85,Chile,1993
Moscatel de Alejandria Maule Valley Dona Consuelo,6,84,Chile,1993
Merlot Vin de Pays d'Oc Cadet,7,82,Other France,1996
Chardonnay North Fork of Long Island Reserve,13,84,Long Island,1994
San Leonardo,47,87,Northeast,1994
Chardonnay Oregon Reserve,15,81,Oregon,1992
St.-Joseph,24,89,Rhone,1997
Chardonnay South Eastern Australia,8,86,Australia,1997
Merlot California,7,77,Other California,1992
Sauvignon Collio,16,87,Northeast,1998
Albarino Rias Baixas,15,79,Spain,1996
Valdepenas Senorio de los Llanos Crianza,7,78,Spain,1997
Sauvignon Blanc Monterey County Carmel Vineyard Fume En Vogue,10,81,Bay Area - Central Coast,1996
Pinot Gris Oregon Holstein Vineyards,13,84,Oregon,1993
Vintage Character Port Finest Reserve,17,87,Portugal,
Cabernet Sauvignon Valle del Itata Condor Reserva,11,84,Chile,1996
Riesling Kabinett Rheingau Hochheimer Reichestal,18,84,Germany,1996
Cabernet Sauvignon Washington,24,91,Washington,1997
Zinfandel Russian River Valley Gamba Vineyard,22,87,Sonoma,1997
Chenin Blanc Paarl,10,84,South Africa,1999
Riesling Kabinett Halbtrocken Rheingau,17,88,Germany,1995
Gewurztraminer Alsace Grand Cru Steingrubler,27,85,Alsace,1994
Pinot Noir Willamette Valley Barrel Select,20,80,Oregon,1997
Pauillac,25,84,Bordeaux,1994
Charbono California La Farfalla,15,83,Other California,1996
Pinot Grigio-Chardonnay Toscana Le Rime,9,85,Tuscany,1998
Riesling Auslese Pfalz Forster Üngeheuer,25,83,Germany,1992
Pinot Blanc Alsace Zellenberg,18,87,Alsace,1996
Morey-St.-Denis Monts Luisants,31,74,Burgundy,1994
Stellenbosch,29,88,South Africa,1997
Claret Napa Valley,13,88,Napa,1992
Cabernet-Merlot Columbia Valley,10,83,Washington,1994
Bordeaux,42,89,Bordeaux,1993
Pinot Noir Willamette Valley Freedom Hill Vineyard,48,90,Oregon,1998
Chianti,9,82,Tuscany,1997
Zinfandel North Coast Appellation Collection,12,83,Other California,1996
Sauvignon Blanc Nelson,,86,New Zealand,1993
Cabernet Franc Yakima Valley,16,86,Washington,1994
Lirac Cuvee de la Reine des Bois,18,88,Rhone,1996
Trentino Mori Vecio,14,88,Northeast,1996
Merlot Hawkes Bay,13,86,New Zealand,1998
Chardonnay Napa Valley Reserve,22,85,Napa,1998
Shiraz Clarendon Liandra,60,89,Australia,1997
Merlot Valle del Maule,11,83,Chile,1998
Cabernet Sauvignon Yakima Valley Whiskey Canyon Vineyard,29,83,Washington,1996
Gevrey-Chambertin,,90,Burgundy,1993
Cabernet Sauvignon Napa Valley,18,87,Napa,1993
Meursault Charmes,40,89,Burgundy,1995
Chardonnay Hunter Valley Reserve,15,81,Australia,1996
Pouilly-Fuisse Domaine de Fuissiacus Vieilles Vignes,15,72,Burgundy,1994
Montefalco,15,83,Other Italy,1997
Chinon,12,86,Loire,1995
Merlot Santa Cruz Mountains,40,88,Bay Area - Central Coast,1995
Pinot Noir Santa Cruz Mountains Thirtieth Anniversary,100,91,Bay Area - Central Coast,1992
Chardonnay Santa Barbara County,18,78,South Coast,1998
Cabernet Sauvignon Stellenbosch,21,88,South Africa,1998
Classic Paarl,30,87,South Africa,1995
Pessac-Leognan,60,89,Bordeaux,1993
Cabernet Sauvignon Vin de Pays de l'Herault,6,76,Languedoc-Roussillon,1995
Pinot Noir Santa Maria Valley Bien Nacido Vineyard Q Block,40,88,South Coast,1992
Cabernet Sauvignon Victoria Three Steps,10,85,Australia,1998
Cabernet Grave del Friuli Vigne dai Vieris,9,82,Northeast,1998
Sauvignon Blanc North Coast,5,86,Other California,1994
Merlot Texas Cellar Select,19,83,Texas,1995
Clos de Vougeot,56,88,Burgundy,1995
Haut-Medoc,,,Bordeaux,1999
Merlot California,8,84,Other California,1993
Cabernet Sauvignon North Fork of Long Island Grand Vintage,22,88,Long Island,1993
Pommard Les Rugiens,52,79,Burgundy,1996
Meursault Charmes,,87,Burgundy,1993
Chardonnay Etyeki,10,80,Hungary,1993
Pinot Noir Willamette Valley O'Connor Vineyard,44,87,Oregon,1998
Chassagne-Montrachet Les Caillerets,75,88,Burgundy,1997
Rose New York,10,71,New York,
Chapelle-Chambertin,,79,Burgundy,1994
St.-Joseph Vieilles Vignes,32,91,Rhone,1997
Zinfandel Dry Creek Valley,11,80,Sonoma,1992
Merlot Napa Valley Three Palms Vineyard,20,86,Napa,1995
Merlot Grave del Friuli Campo del Viotto,20,83,Northeast,1995
Rosso di Montalcino,17,79,Tuscany,1994
Chardonnay Napa Valley Carneros,21,88,Carneros,1996
Pinot Gris South Africa,9,76,South Africa,1996
Bourgogne White,15,84,Burgundy,1993
Shiraz Stellenbosch,20,83,South Africa,1996
Sauvignon Blanc Castello della Sala,9,82,Other Italy,1995
Riesling QbA Nahe,15,86,Germany,1997
Cabernet Sauvignon-Merlot Conca de Barbera Santara,9,81,Spain,1996
Chablis,21,88,Burgundy,1997
Zinfandel Sonoma County Old Vines,20,91,Sonoma,1997
Zinfandel Sonoma Valley,8,84,Sonoma,1992
Cotes du Rhone-Villages White Sablet,14,72,Rhone,1996
Cabernet Sauvignon Napa Valley Benchland Select,65,90,Napa,1995
Sauvignon Blanc Marlborough,,84,New Zealand,1993
Margaux,,,Bordeaux,1998
Merlot Carneros Sangiacomo Vineyard Reserve,23,89,Carneros,1995
Gigondas,20,85,Rhone,1995
Cabernet Sauvignon Rogue Valley,10,78,Oregon,1992
Sauvignon Collio,23,87,Northeast,1998
Meritage Alexander Valley,15,90,Sonoma,1993
Brunello di Montalcino Montosoli,80,91,Tuscany,1993
Muscat Canelli Columbia Valley,7,78,Washington,1993
Corton-Charlemagne,52,89,Burgundy,1992
Syrah-Grenache Vin de Pays de Vaucluse Les Chanterelles,7,83,Rhone,1998
Merlot Israel,,87,Israel,1995
Coteaux du Layon-Rochefort Les Rayelles,20,90,Loire,1996
Brut Australia Tache,19,85,Australia,
Rosso di Montalcino Villa dei Lecchi,18,85,Tuscany,1995
Zinfandel Napa-El Dorado Counties,15,82,Other California,1996
Meursault Genevrieres,,88,Burgundy,1992
Puligny-Montrachet Champ-Canet,58,95,Burgundy,1995
Barolo Cannubi,70,92,Piedmont,1995
Chardonnay Napa Valley Hillside Vineyard,25,90,Napa,1997
Zinfandel Lodi Spenker Ranch,24,89,Other California,1997
Cote de Nuits-Villages,25,77,Burgundy,1994
Fleurie Chateau des Deduits,12,87,Beaujolais,1994
Viognier California,10,85,Other California,1996
Corton Les Grandes Lolieres,94,86,Burgundy,1997
Chapelle-Chambertin,70,74,Burgundy,1996
Chorey-les-Beaune White,22,93,Burgundy,1997
Reserve Columbia Valley,24,90,Washington,1996
Cabernet Sauvignon Napa-Santa Barbara Counties Coastal Selection,13,84,Other California,1996
Pessac-Leognan White,,89,Bordeaux,1997
Medoc,,,Bordeaux,1998
Sancerre Acacia,14,85,Loire,1993
Chassagne-Montrachet,44,73,Burgundy,1998
Chianti Classico,15,85,Tuscany,1992
Corbieres White,7,80,Other France,1992
Zinfandel North Coast,10,83,Other California,1995
Meursault Les Perrieres,83,93,Burgundy,1992
Cabernet Sauvignon Dry Creek Valley 25th Anniversary,30,89,Sonoma,1994
Carmignano Rosato Vin Ruspo,,86,Tuscany,1996
Pomerol,,,Bordeaux,1998
Cabernet Sauvignon Paso Robles Nebula,18,87,South Coast,1996
Echezeaux,60,92,Burgundy,1994
Hermitage La Chapelle,,94,Rhone,1996
Barbaresco Fausoni Vigna del Salto,40,90,Piedmont,1996
Cotes du Rhone White,,80,Rhone,1999
Pinot Noir Alexander Valley Wetzel Family Estate,15,81,Sonoma,1997
Shiraz-Cabernet Coonawarra Limestone Ridge,28,91,Australia,1996
Chardonnay Russian River Valley Goldfields Vineyard Reserve,30,92,Sonoma,1996
Barbera d'Asti Bricco Verlenga,19,87,Piedmont,1996
St.-Amour Domaine des Pins,10,83,Beaujolais,1992
Rosso di Montalcino,14,81,Tuscany,1994
Chardonnay Paso Robles Reserve,16,86,South Coast,1995
Cabernet Sauvignon Napa Valley Estate Reserve,,,Napa,1997
Margaux,,,Bordeaux,1999
Cabernet Sauvignon Alexander Valley,19,88,Sonoma,1996
St.-Veran Domaine de l'Eveque,14,79,Burgundy,1994
Chevalier-Montrachet,181,90,Burgundy,1994
Monferrato Rosso di Malì,17,74,Piedmont,1997
Pinot Noir Oregon,10,85,Oregon,1996
Chianti Classico,23,82,Tuscany,1998
Cabernet Sauvignon Napa Valley,27,87,Napa,1994
Sauvignon Blanc Sonoma County,11,89,Sonoma,1997
Corton Les Renardes,76,74,Burgundy,1992
Zinfandel Amador County Grandmere,23,86,Sierra Foothills,1994
Brut Nature Cava 79,64,72,Spain,
Cotes du Luberon White Les Bugadelles,8,83,Rhone,1998
Viognier Monticello Reserve,16,77,Virginia,1997
Beaujolais-Villages,8,83,Beaujolais,1995
Chassagne-Montrachet En Virondot,45,90,Burgundy,1995
White Zeppelin Blimp de Blanc California,10,86,Other California,
Sauvignon Blanc Hawkes Bay,10,77,New Zealand,1992
Chardonnay Russian River Valley,12,87,Sonoma,1993
Chardonnay Napa Valley,12,87,Napa,1993
Viognier Vin de Pays de l'Ardeche Or Blanc,11,83,Rhone,1997
Pinot Noir Willamette Valley,15,81,Oregon,1995
Bien Nacido Cuvee Santa Barbara County,16,82,South Coast,1995
Demi-Sec Champagne,30,84,Champagne,
Gewurztraminer Oregon,6,80,Oregon,1993
Rueda Vina Cantosan,9,82,Spain,1996
Merlot Russian River Valley,18,80,Sonoma,1997
Merlot Sonoma County,38,90,Sonoma,1995
Tokay Pinot Gris Alsace Vendanges Tardives,30,88,Alsace,1997
Nuits-St.-Georges Rue de Chaux,60,80,Burgundy,1998
Chablis Blanchot,50,94,Burgundy,1997
Riesling Eiswein Rheingau Hochheimer Domdechaney,,84,Germany,1992
Pessac-Leognan,,,Bordeaux,1998
Bourgogne Les Taupes Maison Dieu,19,71,Burgundy,1997
Pouilly-Fuisse La Roche Cuvee No. 2,19,75,Burgundy,1994
Riesling Auslese Pfalz Gleisweiler Holle,29,83,Germany,1997
Silvaner Trocken Rheinhessen Niersteiner Rosenberg,16,85,Germany,1994
Zinfandel Contra Costa County,14,89,Bay Area - Central Coast,1995
Brut Champagne Cuvee de Reserve,39,91,Champagne,
Chardonnay Russian River Valley Signature Series,16,87,Sonoma,1996
Chardonnay Gisborne Private Bin,13,86,New Zealand,1996
Chardonnay The Hamptons Long Island La Ferme Martin,13,81,Long Island,1998
Cabernet Sauvignon Napa Valley Aura,80,88,Napa,1996
Beaune Clos des Ursules,31,88,Burgundy,1994
Chardonnay Navarra Barrel Fermented,11,78,Spain,1996
Cabernet-Merlot Waiheke Island,54,85,New Zealand,1997
Merlot Vin de Pays d'Oc Cuvee Speciale,8,85,Other France,1994
Mourvedre Contra Costa County,16,82,Bay Area - Central Coast,1993
Shiraz Australia,24,85,Australia,1997
Chardonnay Columbia Valley Reserve,10,79,Washington,1997
Cabernet Sauvignon Clare Valley Classic,16,90,Australia,1992
Cabernet-Merlot Barossa,16,85,Australia,1996
Vin de Pays de Vaucluse,8,84,Rhone,1993
Brunello di Montalcino,40,87,Tuscany,1992
Brut Alto Adige,24,83,Northeast,1993
Sauvignon Blanc Amador County,10,87,Sierra Foothills,1995
Cabernet Sauvignon California,9,85,Other California,1995
Chardonnay Edna Valley,15,82,South Coast,1994
Rosso di Montalcino,,88,Tuscany,1997
Greco Sant'Agata dei Goti,14,79,Other Italy,1998
Corton En Charlemagne,61,75,Burgundy,1994
Ciro Duca Sanfelice Riserva,17,78,Other Italy,1995
Riesling Qualitätswein Trocken Kremstal Urgesteins Kremser Kremsleiten,25,84,Niederosterreich,1995
Gewurztraminer Alsace Turckheim,25,86,Alsace,1998
Rully,14,81,Burgundy,1992
Chardonnay Toscana Il Marzocco,22,78,Tuscany,1998
Cote-Rotie La Turque,200,94,Rhone,1995
Cabernet Sauvignon Sonoma County Mohrhardt Ridge Vineyard,16,86,Sonoma,1996
Pouilly-Fume Acacia,15,87,Loire,1996
Costieres de Nimes White Cuvee Amerique,12,79,Languedoc-Roussillon,1997
Cabernet-Merlot Rogue Valley,10,86,Oregon,1995
St.-Estephe,25,89,Bordeaux,1996
Cotes du Luberon White Les Bugadelles,8,83,Rhone,1999
Cabernet Sauvignon Napa Valley,22,88,Napa,1996
Chianti Classico La Madonnina,13,85,Tuscany,1997
Sangiovese Santa Maria Valley Tepusquet Vineyard,25,88,South Coast,1994
Chardonnay Coastal Region,11,72,South Africa,1995
Cabernet Sauvignon Napa Valley Capitol Reserve,12,73,Napa,
Riesling Canterbury,13,89,New Zealand,1999
Nuits-St.-Georges Les Damodes,44,76,Burgundy,1997
Chenin Blanc Monterey Dry,8,84,Bay Area - Central Coast,1996
Cabernet Sauvignon Clare Valley,30,89,Australia,1998
Rioja Pagos Viejos Reserva,45,91,Spain,1994
Pinot Noir Willamette Valley Guadalupe Vineyard,28,87,Oregon,1995
Sauvignon Blanc Clear Lake,9,84,Mendocino Lake,1993
Riesling Auslese Mosel-Saar-Ruwer Graacher Himmelreich,24,85,Germany,1996
Sauvignon Blanc Napa County L'Apres-Midi,30,90,Napa,1996
Barsac,,85,Bordeaux,1996
Pinot Noir Santa Barbara County,25,86,South Coast,1993
Fume Blanc Columbia Valley Dry,8,83,Washington,1994
Gruner Veltliner Qualitätswein Trocken Kremstal Dreigärten,,88,Niederosterreich,1998
Cabernet Sauvignon Central Coast,10,83,Other California,1995
Gamay Vin de Pays du Comte Tolosan,6,72,Other France,1996
Pinot Noir Santa Barbara County,18,88,South Coast,1992
Semillon-Chardonnay Hunter Valley,8,78,Australia,1998
Shiraz McLaren Vale,27,90,Australia,1998
Chardonnay Santa Cruz Mountains,22,88,Bay Area - Central Coast,1996
Dolcetto d'Alba Pianpolvere Soprano,14,80,Piedmont,1993
Merlot Vin de Pays d'Oc,6,78,Other France,1993
Rueda Superior Montesol,11,84,Spain,1998
Sancerre Red Charlouise,28,85,Loire,1998
Sauvignon Blanc Livermore Valley Selected Vineyard,8,87,Bay Area - Central Coast,1995
Paestum Zero,55,92,Other Italy,1997
Pinot-Chardonnay Qualitätswein Trocken Thermenregion,,83,Niederosterreich,1998
Cabernet Sauvignon Vin de Pays d'Oc,7,81,Other France,1998
Pinot Noir Oregon,6,80,Oregon,1994
Sauvignon Blanc Marlborough,15,86,New Zealand,1998
Zinfandel Howell Mountain,16,89,Napa,1995
Pinot Noir Mount Harlan Mills,35,91,Bay Area - Central Coast,1992
Richebourg,298,85,Burgundy,1997
Pinot Noir Santa Cruz Mountains Matteson Vineyard,25,88,Bay Area - Central Coast,1996
Ribera del Duero Unico Reserva Especial,150,79,Spain,
Syrah Columbia Valley Genesis,25,89,Washington,1997
Zinfandel Howell Mountain White Cottage Vineyard,21,86,Napa,1996
Puligny-Montrachet Les Pucelles,81,89,Burgundy,1998
Chablis Vau Ligneau,27,86,Burgundy,1997
Chardonnay California,10,80,Other California,1997
Sauvignon Blanc Sonoma County,8,85,Sonoma,1994
St.-Aubin Les Cortons,,79,Burgundy,1998
Brut Rose Champagne Premier Cru,30,86,Champagne,1994
Brut Blanc de Blancs Champagne Cuvee Charlemagne,39,86,Champagne,1992
Chardonnay Santa Barbara County,18,86,South Coast,1994
Shiraz South Australia Sovereign,10,87,Australia,1997
Marsannay White,21,85,Burgundy,1995
Cabernet Sauvignon Umpqua Valley Safari Vineyard Reserve,15,86,Oregon,1992
Chardonnay Carneros Gold Label Select,9,88,Carneros,1992
Brut Champagne Cuvee Royale,19,85,Champagne,
Bordeaux,5,78,Bordeaux,1994
Merlot Yakima Valley Reserve,15,80,Washington,1993
Fino Jerez Jarana Solera Reserva,11,90,Spain,
Sauvignon Blanc Coastal Region,8,74,South Africa,1992
Pinot Noir South Australia Bin 99,9,82,Australia,1997
Chardonnay Santa Lucia Highlands Pisoni Vineyard,39,83,Bay Area - Central Coast,1998
Zinfandel Dry Creek Valley,14,88,Sonoma,1993
Cabernet Sauvignon Napa Valley,65,92,Napa,1995
Chardonnay Vin de Pays du Jardin de la France Domaine Trois Freres,9,78,Loire,1995
Chardonnay North Fork of Long Island Andy's Field,19,83,Long Island,1993
Chambertin-Clos de Beze,,88,Burgundy,1997
Barbaresco Vanotu,19,81,Piedmont,1993
Pinot Noir Russian River Valley Estate,32,87,Sonoma,1995
Clos Vougeot,89,93,Burgundy,1998
Chardonnay Carneros Grand Reserve,22,88,Carneros,1994
Chassagne-Montrachet Les Grandes Ruchottes,,88,Burgundy,1994
Merlot Colli Orientali del Friuli Centis,23,81,Northeast,1996
Riesling Trockenbeerenauslese Pfalz Kallstadter Saumagen,,90,Germany,1994
Bordeaux Superieur Montalon,,86,Bordeaux,1995
Merlot South Eastern Australia Bin 40,9,82,Australia,1996
Audubon Rouge California,5,79,Other California,
Minervois Le Vin Qui Tue,9,86,Languedoc-Roussillon,1996
Barbera d'Alba,9,80,Piedmont,1998
Chianti Rufina Riserva,12,81,Tuscany,1997
Barbaresco Faset,70,93,Piedmont,1996
Merlot Collio,14,84,Northeast,1995
Sauvignon Blanc Trinity County Meredith Vineyard,9,85,Other California,1992
Chardonnay Willamette Valley,18,88,Oregon,1996
Pommard Les Chaponnieres,45,83,Burgundy,1995
Echezeaux,84,83,Burgundy,1993
Gewurztraminer Alsace Cuvee Laurence,48,87,Alsace,1996
Cabernet Sauvignon Yakima Valley,20,85,Washington,1992
Costieres de Nimes Reserve du Chateau,9,82,Languedoc-Roussillon,1996
Chianti Classico Castello di Fonterutoli,22,88,Tuscany,1997
Corbieres,9,84,Languedoc-Roussillon,1998
Givry Clos Jus,25,89,Burgundy,1998
Cabernet Sauvignon Maipo Valley,8,82,Chile,1996
Pinot Noir Monterey,18,84,Bay Area - Central Coast,1995
Cabernet Sauvignon South Australia Presidents Selection,18,86,Australia,1995
Cabernet Sauvignon Clare Valley,28,85,Australia,1997
Pinot Noir Oregon Reserve,18,88,Oregon,1994
Riesling Spätlese Mosel-Saar-Ruwer Berncasteler Doctor Geheimrat J,,87,Germany,1994
Toscana White Cerviolo,15,86,Tuscany,1995
Nuits-St.-Georges Les Perrieres,40,92,Burgundy,1996
Gruner Veltliner Kabinett Trocken Kremstal Gedersdorfer Lossterrassen,12,84,Niederosterreich,1995
Vosne-Romanee Les Brulees,145,89,Burgundy,1994
Mt. Hermon Red Galil,10,86,Israel,1995
Chardonnay California,8,83,Other California,1995
Dolcetto d'Alba Bussia,17,81,Piedmont,1999
Sauvignon Blanc Oregon,8,80,Oregon,1993
Riesling Kabinett Trocken Rheingau Blausilber,13,79,Germany,1993
Riesling Spätlese Nahe Munsterer Dautenpflänzer,16,89,Germany,1996
Margaux,19,84,Bordeaux,1996
Merlot Toscana,15,88,Tuscany,1995
Estate Cuvee Dry Creek Valley Coffaro Estate Vineyard Old Vines,19,88,Sonoma,1995
Cotes du Roussillon,10,84,Languedoc-Roussillon,1996
Syrah California Coastal,10,84,Other California,1998
Chianti Classico Riserva,28,90,Tuscany,1995
Nebbiolo Colline Novaresi,12,65,Piedmont,1997
Grigio Venezia Giulia,,81,Northeast,1997
Sangiovese Napa Valley,23,87,Napa,1992
Pinot Blanc Santa Maria Valley,14,90,South Coast,1994
Weissburgunder Spätlese Trocken *** Baden,32,88,Germany,1997
Chablis Vieilles Vignes,20,79,Burgundy,1996
Margaux,22,86,Bordeaux,1994
Haut-Medoc,,87,Bordeaux,1996
Pinot Noir Alsace Prestige,20,79,Alsace,1997
Vin de Pays de la Principaute d'Orange Le Pigeoulet,10,86,Rhone,1996
Chianti Classico Riserva,18,85,Tuscany,1995
Zinfandel Mendocino Pacini Vineyard,16,88,Mendocino Lake,1995
Chardonnay Russian River Valley,28,84,Sonoma,1998
Riesling Auslese Gold Cap Rheingau Erbacher Marcobrunn,,87,Germany,1993
Canon-Fronsac,20,85,Bordeaux,1996
Merlot Toscana Poggio Golo,18,87,Tuscany,1998
White Zinfandel California,4,73,Other California,1994
Syrah Vin de Pays de l'Ardeche,,87,Rhone,1997
Tokay Pinot Gris Alsace Reserve,15,82,Alsace,1992
Chablis Vaudesir,42,85,Burgundy,1998
Morellino di Scansano Val delle Rose,15,87,Tuscany,1997
