p_name,p_price,p_score,p_region,p_year
Riesling Trockenbeerenauslese Rheingau,,89,Germany,1993
Rosso di Montalcino Centine,,83,Tuscany,1994
Semillon-Chardonnay Hastings River,13,87,Australia,1997
Merlot Columbia Valley Cameo Reserve,13,88,Washington,1992
Cotes du Rhone White,9,60,Rhone,1998
Zinfandel California Old Vines,20,90,Other California,1996
Chardonnay Monterey Riverstone,12,90,Bay Area - Central Coast,1994
Pouilly-Fume,29,89,Loire,1996
Fume Blanc Columbia Valley,9,82,Washington,1993
Merlot-Cabernet Franc-Cabernet Coonawarra,13,86,Australia,1996
Corton Pougets,40,86,Burgundy,1994
Merlot-Cabernet Qualitätswein Weinviertel Max,,84,Niederosterreich,1995
Vin de Table Francais Red,5,84,Other France,
St.-Romain,20,81,Burgundy,1995
Johannisberg Riesling Finger Lakes Dry,9,85,Finger Lakes,1997
Coteaux du Languedoc Bronzinelle,11,85,Languedoc-Roussillon,1997
Chardonnay Alexander Valley Wetzel Family Estate,11,84,Sonoma,1992
St.-Emilion,25,82,Bordeaux,1996
Gewurztraminer Russian River Valley Martinelli Vineyard Puncheon Select,14,86,Sonoma,1992
Cuvee Napa Valley,19,85,Napa,1994
Riesling Smaragd Trocken Wachau Spitzer Singerriedel,55,92,Niederosterreich,1998
Pauillac,,,Bordeaux,1999
Cabernet Sauvignon California House Lot 89,6,80,Other California,
Zinfandel Sonoma Valley Pagani Vineyard Reserve,24,92,Sonoma,1994
Vintage Tunina,35,84,Northeast,1994
Cabernet Sauvignon Paso Robles,16,82,South Coast,1995
Lalande-de-Pomerol,,,Bordeaux,1998
Pinot Noir Los Carneros,25,84,Carneros,1997
Pinot Noir Carneros Vin Gris Signet Collection,10,84,Carneros,1996
Cabernet Sauvignon Napa Valley,35,87,Napa,1997
Montrachet,230,95,Burgundy,1995
Chenin Blanc Monterey County Carmel Vineyard Le Cheniere,9,86,Bay Area - Central Coast,1996
Riesling Alsace Grand Cru Vorbourg Clos St.-Landelin,23,88,Alsace,1995
Vino de Mesa,4,76,Spain,
Riesling Spätlese Mosel-Saar-Ruwer,22,86,Germany,1998
Lalande-de-Pomerol,,86,Bordeaux,1996
Chardonnay Alexander Valley,21,90,Sonoma,1996
Bordeaux Superieur,,76,Bordeaux,1992
St.-Emilion,30,88,Bordeaux,1997
Barbera d'Alba,20,86,Piedmont,1993
Riesling Federspiel Trocken Wachau Weissenkirchner Steinriegl,24,88,Niederosterreich,1995
Macon-Villages,,83,Burgundy,1995
Volnay-Santenots,63,87,Burgundy,1997
Savennieres Clos du Papillon,20,87,Loire,1996
Chambertin-Clos de Beze,90,92,Burgundy,1995
Sauvignon Blanc Marlborough,10,88,New Zealand,1999
Rioja Otonal,8,82,Spain,1998
Cabernet Sauvignon North Fork of Long Island,13,87,Long Island,1993
Santenay Les Charmes,22,83,Burgundy,1998
Chianti Moro,10,80,Tuscany,1998
Chardonnay California Lot 65 Barrel Select,7,79,Other California,1995
Cabernet Sauvignon Knights Valley,13,87,Sonoma,1993
Brut Champagne Coeur de Cuvee,97,88,Champagne,1992
Chardonnay Mendoza Oak Reserve,10,83,Argentina,1996
Riesling Auslese ** Mosel-Saar-Ruwer Erdener Treppchen,29,85,Germany,1995
Chateauneuf-du-Pape Reserve,,91,Rhone,1995
Cabernet Sauvignon Columbia Valley,12,89,Washington,1993
St.-Joseph Deschants,26,87,Rhone,1998
Bolgheri-Sassicaia Sassicaia,136,93,Tuscany,1997
Cabernet Sauvignon Alexander Valley Lot 13,6,64,Sonoma,
Pinot Noir Yamhill County Redland,,87,Oregon,1994
Cabernet Sauvignon South Australia Bin 45,7,83,Australia,1993
Riesling Spätlese Mosel-Saar-Ruwer Brauneberger Juffer-Sonnenuhr (AP 6),18,89,Germany,1998
Chardonnay Napa Valley,35,91,Napa,1994
St.-Aubin La Princee,16,83,Burgundy,1996
Pinotage Stellenbosch,11,84,South Africa,1996
Beaune Coucherias,26,73,Burgundy,1993
Sauvignon Blanc Galil,12,77,Israel,1992
Listrac,,81,Bordeaux,1996
Beaune Epenottes,28,75,Burgundy,1996
Chianti Classico,,79,Tuscany,1992
Cabernet Sauvignon California,8,82,Other California,1996
Cabernet Sauvignon Alexander Valley Alexander Mountain Estate Three Block,60,92,Sonoma,1995
Savigny-les-Beaune Serpentieres,28,88,Burgundy,1997
Brut Blanc de Blancs Champagne Gastronome,42,92,Champagne,1995
Riesling Spätlese Halbtrocken Pfalz Forster Pechstein,19,85,Germany,1996
Chardonnay Gisborne,,79,New Zealand,1992
Cabernet Sauvignon Napa Valley,15,87,Napa,1992
Vinho Verde Grinalda,10,78,Portugal,
Cabernet-Merlot Coonawarra,15,91,Australia,1996
Riesling Alsace Cuvee Frederic Emile,30,90,Alsace,1996
Sauvignon Blanc Napa Valley Reserve Selection,20,88,Napa,1993
Ruchottes-Chambertin,96,95,Burgundy,1996
Chianti Classico,9,80,Tuscany,1997
Chevalier-Montrachet,110,93,Burgundy,1995
Pauillac,22,83,Bordeaux,1996
Corbieres White Vieilles Vignes,,86,Other France,1992
Chardonnay California Clair de Lune,8,81,Other California,1994
Cotes du Rhone Coudoulet de Beaucastel,24,86,Rhone,1998
Cabernet Sauvignon Napa Valley,12,78,Napa,1992
Meursault Les Grands Charrons,35,82,Burgundy,1997
Fume Blanc Napa Valley,10,89,Napa,1992
Bordeaux,35,88,Bordeaux,1997
Gewurztraminer Alsace Turckheim Herrenweg Vendange Tardive,65,92,Alsace,1995
Crozes-Hermitage Le Grand Courtil,,60,Rhone,1998
Chenas En Guinchay,9,86,Beaujolais,1994
Ribera del Duero Reserva,55,87,Spain,1995
Zinfandel Russian River Valley Frati Ranch,24,91,Sonoma,1995
Chardonnay Arroyo Grande Valley Estate,19,87,South Coast,1997
Chardonnay Russian River Valley Maison Grand Cru,25,83,Sonoma,1997
Cabernet Sauvignon Carneros Grand Reserve,37,86,Carneros,1995
Chardonnay Sonoma County,18,83,Sonoma,1994
Chablis Cote de Lechet,36,85,Burgundy,1998
Cabernet Sauvignon Sonoma County,14,86,Sonoma,1998
Rosso di Montalcino,,77,Tuscany,1993
Rosso di Montalcino,12,88,Tuscany,1996
Sauvignon Blanc Coonawarra,18,87,Australia,1998
Cream Jerez Diez y Ocho,18,89,Spain,
Montrachet,440,97,Burgundy,1995
Chambolle-Musigny,54,87,Burgundy,1998
Pinot Noir Sonoma Mountain Wolfspierre Vineyard,14,86,Sonoma,1992
Pinot Noir Carneros,20,87,Carneros,1993
Sauvignon Blanc Calaveras County Reserve,8,79,Sierra Foothills,1993
Clos St.-Denis,75,87,Burgundy,1995
Joe's White Napa Valley,5,83,Napa,
Zinfandel Sonoma County,13,90,Sonoma,1995
Riesling Kabinett Rheinhessen Niersteiner Paterberg,13,85,Germany,1998
Barbera Amador County Terra d'Oro,18,81,Sierra Foothills,1995
Chablis,16,88,Burgundy,1997
Cabernet Sauvignon Columbia Valley,45,91,Washington,1996
Merlot Washington,14,87,Washington,1993
Sancerre Cotes de Reigny,15,83,Loire,1999
Chardonnay Alexander Valley Gauer Vineyard Upper Barn,50,92,Sonoma,1992
Cabernet Sauvignon Howell Mountain,45,93,Napa,1995
Chardonnay Gisborne,11,85,New Zealand,1993
Cotes du Rhone-Villages Sablet,15,83,Rhone,1997
Riesling Spätlese Mosel-Saar-Ruwer Serriger Schloss Saarsteiner,19,88,Germany,1997
Meursault,39,93,Burgundy,1996
Margaux,38,87,Bordeaux,1995
Riesling QbA Trocken Rheingau,18,80,Germany,1998
Anjou Logis de la Giraudiere,8,83,Loire,1995
Chablis Cote de Lechet,,84,Burgundy,1993
Sauvignon Vin de Pays d'Oc Les Salices Eleve en futs de chene,8,82,Other France,1998
Refosco dal Peduncolo Rosso,14,84,Northeast,1993
St.-Joseph Anais,20,79,Rhone,1992
Chardonnay Carneros,23,86,Carneros,1998
Pinot Noir Anderson Valley,30,86,Mendocino Lake,1995
Merlot California Proprietor's Reserve,7,77,Other California,1997
Pinot Noir Marlborough,16,82,New Zealand,1998
Cielogrigio,6,82,Veneto,1995
Bianco di Custoza Fattoria di Cavalcaselle,8,74,Veneto,1994
Rioja White Vina Cumbrero,9,80,Spain,1995
Riesling Auslese Saar-Ruwer Eitelsbacher Karthäuserhofberg,31,84,Germany,1992
Vosne-Romanee Les Orveaux,36,78,Burgundy,1994
Cabernet Sauvignon Napa Valley,56,91,Napa,1997
DVX Napa Valley,30,92,Napa,1992
Sylvaner Alsace,11,79,Alsace,1996
Chablis Montmains,29,88,Burgundy,1996
Saperavi Kakheti Akhasheni,13,82,Kakheti,1997
Sparkling Johannisberg Riesling Southeastern New England Imperial Sec,25,75,New England,1994
Medoc,17,74,Bordeaux,1996
St.-Romain,12,77,Burgundy,1993
Albarino Rias Baixas Organistrum,17,84,Spain,1995
Montrachet,170,95,Burgundy,1992
Vintage Port,50,90,Portugal,1997
